budget_factor,algname,fid,dim,lib,fx,
100,bipop,5,10,Baselines,-2.548891,
100,bipop,5,20,Baselines,0.890585018,
100,bipop,6,2,Baselines,-2.025376529,
100,bipop,6,5,Baselines,-0.905921403,
100,bipop,6,10,Baselines,-0.030593601,
100,bipop,6,20,Baselines,0.491516559,
100,bipop,7,2,Baselines,-4.387360723,
100,bipop,7,5,Baselines,-1.605929262,
100,bipop,7,10,Baselines,0.191646766,
100,bipop,7,20,Baselines,0.802607205,
100,bipop,8,2,Baselines,-1.218577622,
100,bipop,8,5,Baselines,0.412109248,
100,bipop,8,10,Baselines,0.944684123,
100,bipop,8,20,Baselines,1.293392177,
100,bipop,9,2,Baselines,-1.395114484,
100,bipop,9,5,Baselines,0.338150774,
100,bipop,9,10,Baselines,0.942792668,
100,bipop,9,20,Baselines,1.251880348,
100,bipop,10,2,Baselines,0.685065985,
100,bipop,10,5,Baselines,2.538362002,
100,bipop,10,10,Baselines,3.603012686,
100,bipop,10,20,Baselines,4.093309786,
100,bipop,11,2,Baselines,0.514078708,
100,bipop,11,5,Baselines,1.547820968,
100,bipop,11,10,Baselines,1.920423988,
100,bipop,11,20,Baselines,2.285657855,
100,bipop,12,2,Baselines,0.597096597,
100,bipop,12,5,Baselines,0.987297788,
100,bipop,12,10,Baselines,1.208256669,
100,bipop,12,20,Baselines,0.919559,
100,bipop,13,2,Baselines,-0.590492814,
100,bipop,13,5,Baselines,0.524406744,
100,bipop,13,10,Baselines,0.625947617,
100,bipop,13,20,Baselines,0.438708477,
100,bipop,14,2,Baselines,-3.292795652,
100,bipop,14,5,Baselines,-2.739755948,
100,bipop,14,10,Baselines,-2.450652023,
100,bipop,14,20,Baselines,-2.232367334,
100,bipop,15,2,Baselines,0.275638314,
100,bipop,15,5,Baselines,0.921960261,
100,bipop,15,10,Baselines,1.424476682,
100,bipop,15,20,Baselines,1.830723167,
100,bipop,16,2,Baselines,-1.286809734,
100,bipop,16,5,Baselines,0.180480171,
100,bipop,16,10,Baselines,0.442754625,
100,bipop,16,20,Baselines,0.514211809,
100,bipop,17,2,Baselines,-1.386634612,
100,bipop,17,5,Baselines,-1.365881504,
100,bipop,17,10,Baselines,-1.079813226,
100,bipop,17,20,Baselines,-1.082379809,
100,bipop,18,2,Baselines,-0.285174859,
100,bipop,18,5,Baselines,-0.410024176,
100,bipop,18,10,Baselines,-0.251081085,
100,bipop,18,20,Baselines,-0.110862673,
100,bipop,19,2,Baselines,-1.647536323,
100,bipop,19,5,Baselines,0.103410794,
100,bipop,19,10,Baselines,0.51118562,
100,bipop,19,20,Baselines,0.730425195,
100,bipop,20,2,Baselines,-0.152685006,
100,bipop,20,5,Baselines,0.22673197,
100,bipop,20,10,Baselines,0.266026228,
100,bipop,20,20,Baselines,0.280913524,
100,bipop,21,2,Baselines,-2.060212513,
100,bipop,21,5,Baselines,-0.620291461,
100,bipop,21,10,Baselines,-0.724995036,
100,bipop,21,20,Baselines,-0.045308504,
100,bipop,22,2,Baselines,-1.576108099,
100,bipop,22,5,Baselines,-0.000149243,
100,bipop,22,10,Baselines,0.593813438,
100,bipop,22,20,Baselines,0.854235572,
100,bipop,23,2,Baselines,0.323542596,
100,bipop,23,5,Baselines,0.329624422,
100,bipop,23,10,Baselines,0.380794306,
100,bipop,23,20,Baselines,0.520396768,
100,bipop,24,2,Baselines,0.526083915,
100,bipop,24,5,Baselines,1.24754354,
100,bipop,24,10,Baselines,1.744875413,
100,bipop,24,20,Baselines,2.16755703,
500,bipop,1,2,Baselines,-8,
500,bipop,1,5,Baselines,-8,
500,bipop,1,10,Baselines,-8,
500,bipop,1,20,Baselines,-8,
500,bipop,2,2,Baselines,-8,
500,bipop,2,5,Baselines,-8,
500,bipop,2,10,Baselines,-1.096673382,
500,bipop,2,20,Baselines,1.546501954,
500,bipop,3,2,Baselines,-1.305930124,
500,bipop,3,5,Baselines,0.628686052,
500,bipop,3,10,Baselines,1.056418563,
500,bipop,3,20,Baselines,1.466055686,
500,bipop,4,2,Baselines,-0.039081792,
500,bipop,4,5,Baselines,0.943629714,
500,bipop,4,10,Baselines,1.287326457,
500,bipop,4,20,Baselines,1.676012291,
500,bipop,5,2,Baselines,-8,
500,bipop,5,5,Baselines,-8,
500,bipop,5,10,Baselines,-8,
500,bipop,5,20,Baselines,-5.413790691,
500,bipop,6,2,Baselines,-7.984897755,
500,bipop,6,5,Baselines,-8,
500,bipop,6,10,Baselines,-7.974413233,
500,bipop,6,20,Baselines,-7.481056976,
500,bipop,7,2,Baselines,-7.511729581,
500,bipop,7,5,Baselines,-5.789519935,
500,bipop,7,10,Baselines,-1.695900064,
500,bipop,7,20,Baselines,0.361349582,
500,bipop,8,2,Baselines,-7.971511907,
500,bipop,8,5,Baselines,-6.264310272,
500,bipop,8,10,Baselines,-1.998504274,
500,bipop,8,20,Baselines,0.847364314,
500,bipop,9,2,Baselines,-7.863135524,
500,bipop,9,5,Baselines,-6.946369954,
500,bipop,9,10,Baselines,-1.698572824,
500,bipop,9,20,Baselines,0.817220426,
500,bipop,10,2,Baselines,-7.859942322,
500,bipop,10,5,Baselines,-8,
500,bipop,10,10,Baselines,-1.276716744,
500,bipop,10,20,Baselines,1.492835219,
500,bipop,11,2,Baselines,-7.8137476,
500,bipop,11,5,Baselines,-7.899862741,
500,bipop,11,10,Baselines,-3.476503434,
500,bipop,11,20,Baselines,0.557700483,
500,bipop,12,2,Baselines,-5.755852748,
500,bipop,12,5,Baselines,-4.433095017,
500,bipop,12,10,Baselines,-1.483469277,
500,bipop,12,20,Baselines,-1.449922561,
500,bipop,13,2,Baselines,-7.856284601,
500,bipop,13,5,Baselines,-4.73672738,
500,bipop,13,10,Baselines,-2.328045653,
500,bipop,13,20,Baselines,-0.265481861,
500,bipop,14,2,Baselines,-8,
500,bipop,14,5,Baselines,-7.910262628,
500,bipop,14,10,Baselines,-6.316476716,
500,bipop,14,20,Baselines,-5.011057014,
500,bipop,15,2,Baselines,-0.797155354,
500,bipop,15,5,Baselines,0.67737523,
500,bipop,15,10,Baselines,1.025537616,
500,bipop,15,20,Baselines,1.436327718,
500,bipop,16,2,Baselines,-5.729857155,
500,bipop,16,5,Baselines,-1.872253474,
500,bipop,16,10,Baselines,-0.577720841,
500,bipop,16,20,Baselines,-0.195848873,
500,bipop,17,2,Baselines,-3.91422423,
500,bipop,17,5,Baselines,-3.172320787,
500,bipop,17,10,Baselines,-2.193080607,
500,bipop,17,20,Baselines,-1.830347649,
500,bipop,18,2,Baselines,-1.804787817,
500,bipop,18,5,Baselines,-1.055453566,
500,bipop,18,10,Baselines,-0.843081146,
500,bipop,18,20,Baselines,-0.591225757,
500,bipop,19,2,Baselines,-2.43753259,
500,bipop,19,5,Baselines,-0.34570555,
500,bipop,19,10,Baselines,0.126267571,
500,bipop,19,20,Baselines,0.452921695,
500,bipop,20,2,Baselines,-0.983279807,
500,bipop,20,5,Baselines,0.149710234,
500,bipop,20,10,Baselines,0.221751413,
500,bipop,20,20,Baselines,0.244299393,
500,bipop,21,2,Baselines,-4.009379537,
500,bipop,21,5,Baselines,-1.957955169,
500,bipop,21,10,Baselines,-1.584399422,
500,bipop,21,20,Baselines,-0.296687976,
500,bipop,22,2,Baselines,-4.032921352,
500,bipop,22,5,Baselines,-1.492456449,
500,bipop,22,10,Baselines,0.073586492,
500,bipop,22,20,Baselines,0.60477486,
500,bipop,23,2,Baselines,-1.907255609,
500,bipop,23,5,Baselines,-0.135422281,
500,bipop,23,10,Baselines,0.233919341,
500,bipop,23,20,Baselines,0.332102532,
500,bipop,24,2,Baselines,0.338762009,
500,bipop,24,5,Baselines,0.909338458,
500,bipop,24,10,Baselines,1.428514691,
500,bipop,24,20,Baselines,1.814487054,
