budget_factor,algname,fid,dim,lib,fx,
100,DE,1,20,OPYTIMIZER,-6.108309016,
100,DE,2,2,OPYTIMIZER,-5.841637879,
100,DE,2,5,OPYTIMIZER,-5.601965125,
100,DE,2,10,OPYTIMIZER,-5.505099153,
100,DE,2,20,OPYTIMIZER,-5.364123448,
100,DE,3,2,OPYTIMIZER,-5.595742086,
100,DE,3,5,OPYTIMIZER,-2.860932874,
100,DE,3,10,OPYTIMIZER,0.883301878,
100,DE,3,20,OPYTIMIZER,1.421708238,
100,DE,4,2,OPYTIMIZER,-6.179921851,
100,DE,4,5,OPYTIMIZER,-0.214090824,
100,DE,4,10,OPYTIMIZER,1.013197409,
100,DE,4,20,OPYTIMIZER,1.484564551,
100,DE,5,2,OPYTIMIZER,-7.83073215,
100,DE,5,5,OPYTIMIZER,-6.24410783,
100,DE,5,10,OPYTIMIZER,-6.157086524,
100,DE,5,20,OPYTIMIZER,-6.066763972,
100,DE,6,2,OPYTIMIZER,-6.354931419,
100,DE,6,5,OPYTIMIZER,-5.395060633,
100,DE,6,10,OPYTIMIZER,-5.973141488,
100,DE,6,20,OPYTIMIZER,-5.055654367,
100,DE,7,2,OPYTIMIZER,-6.391965363,
100,DE,7,5,OPYTIMIZER,-6.210085385,
100,DE,7,10,OPYTIMIZER,-6.055351384,
100,DE,7,20,OPYTIMIZER,-0.732609547,
100,DE,8,2,OPYTIMIZER,-6.38001234,
100,DE,8,5,OPYTIMIZER,-5.962683968,
100,DE,8,10,OPYTIMIZER,-5.726746647,
100,DE,8,20,OPYTIMIZER,-4.87489625,
100,DE,9,2,OPYTIMIZER,-6.392407421,
100,DE,9,5,OPYTIMIZER,-5.162146672,
100,DE,9,10,OPYTIMIZER,-5.692579685,
100,DE,9,20,OPYTIMIZER,-4.496059357,
100,DE,10,2,OPYTIMIZER,-5.800298353,
100,DE,10,5,OPYTIMIZER,-5.592120445,
100,DE,10,10,OPYTIMIZER,-4.248740391,
100,DE,10,20,OPYTIMIZER,2.080494309,
100,DE,11,2,OPYTIMIZER,-5.898232957,
100,DE,11,5,OPYTIMIZER,-6.028497127,
100,DE,11,10,OPYTIMIZER,-5.592872841,
100,DE,11,20,OPYTIMIZER,-3.75730498,
100,DE,12,2,OPYTIMIZER,-5.999084843,
100,DE,12,5,OPYTIMIZER,-5.202333026,
100,DE,12,10,OPYTIMIZER,-4.414062687,
100,DE,12,20,OPYTIMIZER,0.989192535,
100,DE,13,2,OPYTIMIZER,-6.210263508,
100,DE,13,5,OPYTIMIZER,-5.938484782,
100,DE,13,10,OPYTIMIZER,-5.142573425,
100,DE,13,20,OPYTIMIZER,-0.623794246,
100,DE,14,2,OPYTIMIZER,-6.579832219,
100,DE,14,5,OPYTIMIZER,-6.336873796,
100,DE,14,10,OPYTIMIZER,-5.838563379,
100,DE,14,20,OPYTIMIZER,-3.832700963,
100,DE,15,2,OPYTIMIZER,-3.053522555,
100,DE,15,5,OPYTIMIZER,-0.623234418,
100,DE,15,10,OPYTIMIZER,1.430700427,
100,DE,15,20,OPYTIMIZER,1.742828717,
100,DE,16,2,OPYTIMIZER,-4.549198912,
